unit:name	unit:other_names
Joint Task Force Operation Restore Hope	"Joint Task Force ""Operation Restore Hope"" ; Joint Military Task Force on the Niger Delta ; Operation Restore Hope in the Niger Delta ; Joint Security Task Force ; Joint Military Task Force (JTF) ; JTF ; Joint Military Task known as Operation Restore Hope ; Joint Task Force ; Joint Military Task Force ; Joint Task Force on Niger Delta codenamed Operation Restore Hope ; Joint Task Force for the Niger Delta ; Task Force ; Operation Restore Hope"
Joint Task Force Operation Restore Hope	"Joint Task Force ""Operation Restore Hope"";Joint Military Task Force on the Niger Delta; Operation Restore Hope in the Niger Delta;Joint Security Task Force;Joint Military Task Force (JTF);JTF;Joint Military Task known as Operation Restore Hope;Joint Task Force;Joint Military Task Force;Joint Task Force on Niger Delta codenamed Operation Restore Hope;Joint Task Force for the Niger Delta;Task Force;Operation Restore Hope"
Joint Task Force Operation Restore Order I Sub Sector 1	
Joint Task Force Operation Restore Order I Sub Sector 10	
Joint Task Force Operation Restore Order I Sub Sector 2	
Joint Task Force Operation Restore Order I Sub Sector 3	
Joint Task Force Operation Restore Order I Sub Sector 4	
Joint Task Force Operation Restore Order I Sub Sector 5	
Joint Task Force Operation Restore Order I Sub Sector 6	
Joint Task Force Operation Restore Order I Sub Sector 7	
Joint Task Force Operation Restore Order I Sub Sector 8	
Joint Task Force Operation Restore Order I Sub Sector 9	
Joint Task Force Operation Restore Order I	"Joint Task Force, Operation Restore Order;Joint Special Task Force in Maiduguri;Joint TASK Force MAIDUGURI;Joint Task Force (JTF) tagged ""Operation Restore Peace"";JTORO;Joint Task Force in Borno;JTF;operation restore peace;JTF Operation Restore Order;ORO I;JTF ORO;Joint Task Force in Borno State;JTF in Borno State;Joint Task Force in Maiduguri, Borno State;JTF in Maiduguri, Borno State "
Joint Task Force Operation Restore Order III	ORO III ; Joint Tak Force (JTF) Operation Restore Order 3 ; Joint Task Force in Yobe State ; JTF in Yobe State
K/Fada Police Division	K/Fada Division Hadejia
Kaduna Police Area Command	Kaduna Area Command
Kaduna State Command (State Security Service)	State Security Service in Kaduna
Kaduna State Police Command	
Kafanchan Police Area Command	Kafanchan Area Command
Kano State Command (State Security Service)	
Kano State Police Command	
Katagum Police Area Command	Area Commands located in Bauchi, Ningi and Katagun
Katsina State Command (State Security Service)	
Katsina State Police Command	
Kebbi State Command (State Security Service)	State Security Service in Kebbi State;SSS in Kebbi State
Kebbi State Police Command	
Kemta Police Division	Kemta
Ketu Police Division	Ketu Division
Kibiya Police Division	Divisional Police Station in Kibiya ; Kibiya Police Station
Kirikiri Police Division	
Kiyawa Police Division	Kiyawa Division
Kofar Wambai Police Division	
Kogi State Command (State Security Service)	
Kogi State Police Command	
Kpor Police Division	Kpor Division
Kusada Police Division	Kusada Local Government Police Division
Kwalli Police Division	Kwalli Divisional Police Station ; Kwalli Police Station ; Kwalli Division ; Kwali Police Division
Kwara State Command (State Security Service)	
Kwara State Police Command	Kwara State Command of the Nigeria Police Force
Lafenwa Police Division	Lafenwa
Lagos State Command (State Security Service)	State Security Service ; SSS ; DSS ; DSS state command
Lagos State Police Command	
Lala Police Division	Lala Divisional Police Station
Lala Police Station	
Lamisula Police Division	Lamisula Police Station;Divisional Police Station at Lamisula
Langbasa Police Division	Langbasa Division
Langtang North Police Division	Langtang North division
Langtang Police Area Command	Langtang Area Command
Laranto Police Division	Laranto Divisional Police Headquarters
Layeni Police Division	
Logistics Command (Air Force)	LC
Logistics Command (Navy)	LOG COMD
Logistics Management Centre	LMC
Madagali Police Division	Madagali Divisional Police Station
Madobi Police Division	Madobi Divisional Police Station
Mai'Adua Police Division	Mai'Adua Divisional Police Office ; Mai'adua Police Divisional Headquarters
Maiha Police Division	Maiha Divisional police station ; Divisional Police Headquarters
Makinde Police Division	MAKINDE DIVISION
Makurdi Police Area Command	Makurdi Area Command
Malumfashi Police Division	Malumfashi Divisional Police
Man Centre Police Division	MAN CENTRE
Mandawari Police Division	Mandawari Police Station
Mani Police Division	Mani Divisional Police Office ; Mani Police Divisional Headquarters
Mapo Police Station	
Mariri Police Division	Mariri Division
Maroko Police Division	Maroko Division
Mashi Police Division	Mashi Divisional Police Office
Mayo Belwa Police Division	Divisional Police Station ; Divisional Police Station ; Mayo-Belwa Police Division
Mbo Police Division	Mbo Divisional Command ; Mbo Division ; Mbo Divisional Police Headquarters
Meiran Police Division	Meiran Division
Michika Police Division	Michika Divisional Police Office
Mile 1 Police Station	
Military Observer Group	ECOMOG
Minjibir Police Division	Minjibir Divisional Station
Minna Police Area Command	Minna Area Command
Mobility Command	MC
Mokola Police Division	
Mokola Police Station	
Morogbo Police Division	Morogbo Division ; Morogbo
Mosafejo Police Division	MOSAFEJO DIVISION
Mowe Police Division	Mowe
Mubi Police Area Command	Mubi Area Command
Mubi Police Division	Divisional Police in Mubi
Mubi South Police Division	
Multinational Joint Task Force	MNJTF;Multi National Joint Task Force;Multinational JTF;MTJF;Multi-National Joint Task Force;MNTJTF;MN-JTF
Musawa Police Division	
Naibawa Police Division	Naibawa Police Station ; Naibawa Division ; Nabawa Police Division
Nangere Police Division	Nangere Division
Nasarawa State Command (State Security Service)	
Nasarawa State Police Command	
Nassarawa Police Division	
National Air Defence Corp	NADC
Naval Doctrine and Assessment Centre	NDAC
Naval Engineering	
Naval Ordnance Depot	NOD
Naval Safety and Standards	
Naval Training Command	NAVTRAC
Ndiegoro Police Division	Ndiegoro Division ; Ndiegoro Divisional Police Station
New Haven Police Division	
Niger State Command (State Security Service)	
Niger State Police Command	
Nigeria Police Force	NPF;Police
Nigerian Air Force Headquarters	HQ NAF
Nigerian Air Force Holding Company	NAFHC
Nigerian Air Force Hospital	NAF Hospital
Nigerian Air Force	
Nigerian Army Headquarters	AHQ;Army Headquarters
Nigerian Army	
Nigerian Battalion 36 (UNMIL)	
Nigerian Naval Dockyard	NND
Nigerian Naval Shipyard	NNSY
Nigerian Navy Headquarters	
Nigerian Navy Holdings Limited	NNHL
Nigerian Navy Transformation Office	NNTO
Nigerian Navy	
Ningi Police Area Command	Area Commands located in Bauchi, Ningi and Katagun
Ninth Mile Police Division	9th mile Division ; Ninth Mile Division; 9th Mile Police Division
Nnewi Police Area Command	
Nnewi Police Division	Nnewi Division
Nnobi Police Division	Nnobi
No Man's Land Police Division	Noman's Land Police Division ; Normans-land Divisional Police
Nsit Attai Police Division	Nsit Attai Divisional Command
Nsit Ibom Police Division	Nsit Ibom Divisional Command
Nsit Ubium Police Division	Divisional Police Officer of Nsit Ubium
Nsukka Police Area Command	Nsukka Area Command
Nsukka Police Division	Nsukka division
Numan Police Division	
Nzam Police Division	Nzam
Obalende Police Division	Obalende
Obantoko Police Division	Obantoko
Obehie Police Division	Obehie Division
Obosi Police Division	
Obot Akara Police Division	Obot Akara Divisional Command ; Obot Akara Police Station
Ochi Amichi Police Division	Ochi Amichi
Odeda Police Division	Odeda
Odogbolu Police Division	Odogbolu
Odukpani Police Division	Odukpani Division
Office of the Navy Secretary	
Ogbere Police Division	Ogbere
Ogbere Police Station	
Ogbomosho Police Area Command	Ogbomosho Area Commander
Ogbomoso Police Area Command	Ogbomoso Area Command
Ogbor Hill Police Division	Ogbor Hill divisional headquarters
Ogere Police Division	Ogere
Oghara Police Division	Oghara
Ogidi Police Division	Ogidi Division
Ogijo Police Division	Ogijo
Ogombo Police Division	Ogombo Division
Ogudu Police Division	Ojodu Berger Division ; Ogudu Division
Ogui Police Division	Ogui Divisional Hqtrs ; Ogui Division ; Ogui Divisional Police Station
Ogun State Command (State Security Service)	
Ogun State Police Command	Ogun State Command
Ohanze Police Division	Divisional Police Headquarters at Ohanze
Ohuhu Police Division	
Ohuru Isimiri Police Division	Ohuru Isimiri Division ; Ohuru Isimmiri Police Division
Oji River Police Division	
Oji-River Area Police Command	
Ojo Police Division	OJO DIVISION
Ojodu Police Division	OJODU DIVISION
Ojodu-Abiodun Police Division	Ojodu-Abiodun
Ojokoro Police Division	Ojokoro Division ; Ijaiye Ojokoro
Ojongbodu Police Division	
Ojoto Police Division	Ojoto
Oke-Itoku Police Division	Oke-Itoku
Oke-Odo Police Division	Oke-Odo Division
Okigwe Police Division	Okigwe Divisional Police Station
Okija Police Division	Okija Division
Oko Police Division	Oko
Oko-Oba Police Division	Oko-Oba Division
Okokomaiko Police Division	OKOKOMAIKO DIVISION
Oleh Police Division	Oleh ; Divisional Police Station
Olosa Police Station	
Olu Obasanjo Police Division	Olu Obasanjo Division
Oluyole Police Station	Police Station at Oluyole
Omoku Police Division	Omoku Divisional Police Headquarters
Ondo State Command (State Security Service)	State Security Service ; SSS ; DSS
Ondo State Police Command	
Onipanu Police Division (Area 'H' Police Area Command)	Onipanu Division ; Onipanu Police Station
Onipanu Police Division	Onipanu
Onireke Police Division	ONIREKE DIVISION
Onitsha Police Area Command	Onitsha Area Command
Operation BOYONA	Joint Task Force;JTF;JTF's Operation Boyona
Operation Delta Safe	
Operation Flush II	
Operation Flush Out II	Operation FLUSH OUT 11
Operation Gama Aiki	
Operation Lafiya Dole	Operation Lafia Dole ; Operation Zaman Lafiya Dole
Operation Mesa	OP Mesa
Operation Restore Peace	
Operation Safe Haven	Special Military Task Force codenamed Operation Safe Haven;STF;OPSH
Operation Sharan Daji	operation code-named 'Sharan Daji'
Operation Task Force Mike	
Operation Zaman Lafiya	Operation Zaman Lafia;Joint Task Force (Operation Zaman Lafiya)
Orerokpe Police Division	Orerokpe
Orita Challenge Police Division	Orita Challenge Divisional Police Station
Oron Police Area Command	Oron Area Command ; Area Command in Oron ; Area Headquarters in Oron
Oron Police Division	Oron Divisional Command ; Divisional Police Headquarters, Oron
Oruk Anam Police Division	Oruk Anam Divisional Command
Osisioma Police Division	Osisioma Division
Osisioma Police Station	
Osolu Kingdom Police Division	Osolu Kingdom Division
Osun State Command (State Security Service)	
Osun State Police Command	
Ota Police Division	Ota
Otolo Police Division	Otolo Division
Otop Abasi Area Command	
Otta Police Area Command	Area Command, Otta
Otuocha Police Division	Otuocha
Oturkpo Police Area Command	Otukpo Area Command ; Police Area Command at Otukpo ; Area Command H/QTRS in Oturkpo
Owode Onirin Police Division	OWODE ONIRIN DIVISION
Owode-Egba Police Division	Owode -Egba
Owode-Egbado Police Division	Owode-Egbado
Oworonsoki Police Division	Oworonsoki Division
Owutu Police Division	OWUTU DIVISION
Oyi Police Division	Oyi
Oyigbo Police Division	Oyigbo Division ; Oyigbo Divisional Police Office
Oyo Police Area Command	Oyo Area Command
Oyo State Command (State Security Service)	State Security Services, Oyo State ; SSS
Oyo State Police Command	
Ozubulu Police Division	Ozubulu Division
Panisau Police Division	Panisau Division
Panshekara Police Division	
Patani Police Division	Patani
Pay and Accounting	103 PAG
Pedro Police Division	Pedro Division ; Pedro station
Pen Cinema Police Division	Pen Cinema
Pesonnel Management Group	104 PMG
Plateau State Command (State Security Service)	
Plateau State Police Command	
Police Mobile Force Squadron 1	MOPOL 1 ; 1 Police Mobile Force ; 1 PMF
Police Mobile Force Squadron 10	10PMF
Police Mobile Force Squadron 11	11PMF;Police Mobile Force Eleven Squadron
Police Mobile Force Squadron 12	12PMF
Police Mobile Force Squadron 14	14 Squadron ; MOPOL 14 ; 14 PMF ; 14PMF
Police Mobile Force Squadron 15	15PMF
Police Mobile Force Squadron 16	16PMF ; MOPOL 16 ; Mopol 16
Police Mobile Force Squadron 17	17PMF
Police Mobile Force Squadron 18	18 PMF ; 18 Police Mobile Force (PMF)
Police Mobile Force Squadron 19	19 PMF ; 19 Police Mobile Force
Police Mobile Force Squadron 2	MOPOL 2 ; PMF 2
Police Mobile Force Squadron 20	20PMF
Police Mobile Force Squadron 21	MOPOL 21 ; 21 mobile police squadron ; 21PMF
Police Mobile Force Squadron 22	22PMF
Police Mobile Force Squadron 23	23PMF
Police Mobile Force Squadron 24	MOPOL 24 ; Presidential Escort ; Guard Squadron
Police Mobile Force Squadron 25	25PMF
Police Mobile Force Squadron 26	MOPOL 26 ; 26PMF
Police Mobile Force Squadron 27	27 Police Mobile Force ; 27PMF ; MOPOL 77 ; MOPOL 27
Police Mobile Force Squadron 27	MOPOL 27
Police Mobile Force Squadron 28	MOPOL 28 ; 28PMF
Police Mobile Force Squadron 29	MOPOL 29 ; 29PMF ; PMF 29 ; Police Mobile Force, unit 29 ; Force 29 Mobile Unit
Police Mobile Force Squadron 3	No 3 Police Mobile Force ; MOPOL 3
Police Mobile Force Squadron 30	30PMF
Police Mobile Force Squadron 31	31 PMF ; 31PMF
Police Mobile Force Squadron 32	MOPOL 32 ; 32PMF
Police Mobile Force Squadron 33	33PMF
Police Mobile Force Squadron 34	Mopol 34 Squadron ; 34PMF
Police Mobile Force Squadron 35	35PMF
Police Mobile Force Squadron 36	36PMF
Police Mobile Force Squadron 37	37PMF
Police Mobile Force Squadron 38	38PMF ; Mopol 38
Police Mobile Force Squadron 39	39PMF ; PMF 39
Police Mobile Force Squadron 4	MOPOL 4 ; 4PMF
Police Mobile Force Squadron 40	MOPOL 40 ; 40PMF ; Police Mobile Office at Jalingo
Police Mobile Force Squadron 41	MOPOL 41 ; Mopol 41 Squadron ; 41 PMF ; 41PMF
Police Mobile Force Squadron 42	42PMF
Police Mobile Force Squadron 43	43PMF;DPU;Diplomatic Protection Unit
Police Mobile Force Squadron 44	squadron 44 battalion ; MOPOL 44 ; DPU ; Diplomatic Protection Unit ; 44 Police Mobile Force ; Mopol 44 FHQS ; 44PMF DPU
Police Mobile Force Squadron 45	MOPOL 45 ; 45PMF
Police Mobile Force Squadron 46	46PMF;Women Squadron
Police Mobile Force Squadron 47	
Police Mobile Force Squadron 48	MOPOL 48
Police Mobile Force Squadron 49	MOPOL 49
Police Mobile Force Squadron 5	MOPOL 5 ; 5PMF
Police Mobile Force Squadron 50	MOPOL 50 ; Mopol 50
Police Mobile Force Squadron 52	52 Squadron Mobile Police Unit
Police Mobile Force Squadron 53	MOPOL 53 ; MOPOL
Police Mobile Force Squadron 54	MOPOL 54 ; Mopol 54
Police Mobile Force Squadron 55	PMF 55 ; Police Mobile Force 55 ; Squadron 55 ; Mobile Police 55 ; MOPOL 55
Police Mobile Force Squadron 6	MOPOL 6 ; MOPOL six ; No 6PMF Squadron
Police Mobile Force Squadron 7	PMF Squadron 7 ; MOPOL 7 ; 7 PMF ; 7PMF
Police Mobile Force Squadron 8	MOPOL 8 ; Squadron 8 ; 8PMF
Police Mobile Force Squadron 9	Police Mobile Squad 9 ; MOPOL 9 ; 9PMF
Police Mobile Force	PMF ; MOPOL
Policy and Plans	
Potiskum Police Area Command	Potiskum Area Command ; Command Area Potiskum
Potiskum Police Division	Potiskum Division;Potiskum Division Police
President of the Federal Republic of Nigeria	President
Presidential Air Fleet	101 PAF
Quick Response Force	QRF
Rano Police Area Command	
Rantya Police Division	Rantya division ; Rantya Police Divisional Headquarters
Rejiyer/Remo Police Division	
Rijiyar Zaki Police Division	Rijiyar Zaki Police Station
Rimi Police Division	Rimi Police Divisional Office
Ringim Police Division	Ringim Division
Rivers State Command (State Security Service)	Rivers State Command of DSS
Rivers State Police Command	
Rumorji Police Division	Rumorji Division
Rumupakni Police Division	
Sabon Gari Police Division in Kano State	
Sabon Gari Police Division in Katsina State	Sabon-Gari Divisional Police Office
Sabon Garin Daura Police Station	Sabon-Gari Police Station
Safana Police Division	Safana Local Government Police Division
Sagamu Police Area Command	Area Command, Sagamu
Sagamu Police Division	Sagamu
Sallari Police Division	
Sango Police Station	
Sapele Police Division	Sapele
Satellite Police Division	SATELITE DIVISION
Seme Police Division	Seme Division
Shagamu Road Police Division	SHAGAMU ROAD DIVISION
Sharada Police Division	Sharada Divisional Police ; Sharada Police Station ; Sharada Division ; Police Divisional Office in Sharada
Shasha Police Division	Shasha Division
Sheka Police Division	Sheka Division ; Sheka Divisional Police ; Sheka Police Station
Shendam Police Division	Shendam Division
Shguwa Police Division	
Shogunle Police Division	SHOGUNLE DIVISION
Shomolu Police Division	Shomolu Division
Shuwa Police Division	Shuwa Divisional Police Station ; Shuwa Police station
Sokoto State Command (State Security Service)	State Security Service ; Department of State Security Service SSS in Sokoto State
Sokoto State Police Command	
Song Police Division	Song Police Divisional Headquarters
Special Anti-Robbery Squad (Abia State Police Command)	
Special Anti-Robbery Squad (Adamawa State Police Command)	
Special Anti-Robbery Squad (Akwa Ibom State Police Command)	
Special Anti-Robbery Squad (Anambra State Police Command)	
Special Anti-Robbery Squad (Bauchi State Police Command)	
Special Anti-Robbery Squad (Bayelsa State Police Command)	
Special Anti-Robbery Squad (Benue State Police Command)	
Special Anti-Robbery Squad (Borno State Police Command)	
Special Anti-Robbery Squad (Cross River State Police Command)	
Special Anti-Robbery Squad (Delta State Police Command)	
Special Anti-Robbery Squad (Ebonyi State Police Command)	
Special Anti-Robbery Squad (Edo State Police Command)	
Special Anti-Robbery Squad (Ekiti State Police Command)	
Special Anti-Robbery Squad (Enugu State Police Command)	
Special Anti-Robbery Squad (Enugu State Police Command)	Enugu State Special Anti robbery
Special Anti-Robbery Squad (Gombe State Police Command)	
Special Anti-Robbery Squad (Imo State Police Command)	
Special Anti-Robbery Squad (Jigawa State Police Command)	
Special Anti-Robbery Squad (Kaduna State Police Command)	
Special Anti-Robbery Squad (Kano State Police Command)	
Special Anti-Robbery Squad (Katsina State Police Command)	
Special Anti-Robbery Squad (Kebbi State Police Command)	
Special Anti-Robbery Squad (Kogi State Police Command)	
Special Anti-Robbery Squad (Kwara State Police Command)	
Special Anti-Robbery Squad (Lagos State Police Command)	
Special Anti-Robbery Squad (Nasarawa State Police Command)	
Special Anti-Robbery Squad (Niger State Police Command)	
Special Anti-Robbery Squad (Ogun State Police Command)	
Special Anti-Robbery Squad (Ondo State Police Command)	
Special Anti-Robbery Squad (Osun State Police Command)	
Special Anti-Robbery Squad (Oyo State Police Command)	
Special Anti-Robbery Squad (Plateau State Police Command)	
Special Anti-Robbery Squad (Rivers State Police Command)	
Special Anti-Robbery Squad (Sokoto State Police Command)	
Special Anti-Robbery Squad (Taraba State Police Command)	
Special Anti-Robbery Squad (Yobe State Police Command)	
Special Anti-Robbery Squad (Zamfara State Police Command)	
Special Area Police Division	Special Area Division
Special Investigation Group	109 SIG
Special Task Force Sector 1	sector one
Special Task Force Sector 3	Sector 3
Special Task Force Sector 4	Sector Four Command of the STF ; sector 4 of the STF
Special Task Force Sector 5	STF Sector 5 ; Sector Five of the STF ; STF sector five
Special Task Force Sector 6	STF sector 6;Sector (6);sector 6
Special Task Force Sector 7	Sector 7 command of the STF ; STF Sector 7 command ; Sector seven ; Sector 7
Special Task Force Sector 8	Sector 8
Special Task Force Sector 9	Sector nine ; Sector 9
Special Task Force	Special Task Force ; STF ; Special Task Force (Operations Safe Heaven)
State Criminal Investigation Department (Abia State Police Command)	Criminal Investigation Department ; CID ; Criminal Investigation Department Abia State
State Criminal Investigation Department (Adamawa State Police Command)	Criminal Investigation Department ; CID
State Criminal Investigation Department (Akwa Ibom State Police Command)	Criminal Investigation Department ; SCID ; CID
State Criminal Investigation Department (Anambra State Police Command)	Criminal Investigation Department ; CID ; State CID
State Criminal Investigation Department (Bauchi State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Bayelsa State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Benue State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Borno State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Cross River State Police Command)	Criminal Investigation Department ; CID ; Cross River State Criminal Investigation Department ; SCID
State Criminal Investigation Department (Delta State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Ebonyi State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Edo State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Ekiti State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Enugu State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Gombe State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Imo State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Jigawa State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Kaduna State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Kano State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Katsina State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Kebbi State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Kogi State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Kwara State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Lagos State Police Command)	Criminal Investigation Department;CID;criminal investigations department;SCID
State Criminal Investigation Department (Nasarawa State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Niger State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Ogun State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Ondo State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Osun State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Oyo State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Plateau State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Rivers State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Sokoto State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Taraba State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Yobe State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Criminal Investigation Department (Zamfara State Police Command)	Criminal Investigation Department ; CID ;  criminal investigations department
State Security Service	SSS
Sumaila Police Division	
Tactical Air Command	TAC
Tactical Response Squad	
Taraba State Command (State Security Service)	SSS
Taraba State Police Command	
Tarauni Police Division	
Tarkwa Bay Police Division	Tarkwa Bay Division
Taura Police Division	Taura Division
Tolu Police Division	
Trade Fair Police Division	TRADE FAIR DIVISION
Training Command	TC
Training and Operations	
Trans-Ekulu Police Division	
Trinity Police Division	
Tudun Wada Police Division in Kano State	
Ubakala Police Division	
Udung Uko Police Division	Udung Uko Divisional Command
Ughelli 'A' Police Division	"Ughelli 'A' ; Ughelli Police 'A' Division ; ""A"" Division  ; A Division ; 'A' Division ; Ughelli police division ; Ughelli 'A' Division ; 'A' Div. Ugh."
Ughelli 'A' Police Division	"Ughelli 'A' ; Ughelli Police 'A' Division ; ""A"" Division ; Ughelli ���A��� ; A Division ; 'A' Division ; Ughelli police division ; Ughelli ���A��� Division ; ���A��� Div. Ugh."
Ughelli 'B' Police Division	B' Division Ughelli ; 'B' Div. Ugh.
Ughelli Police Area Command	Ughelli Area Command;Delta Central Police Area Command;Delta Central Area;Police Delta Central;Nigeria Police Area Command, Ughelli
Ugwogo Police Division	
Ugwuaji Police Division	
Ukanafun Police Division	Ukanafun Divisional Command;Ukanafun Divisional Headquarters;Divisional Police in Ukanafun
Ukpor Police Division	Ukpor Division
Ukwa East Police Division	Divisional Police office in Ukwa East:DPO in Ukwa East
Uli Police Division	Uli Division
Umuabor Police Division	Umuabor Division ; Umuabo Police Division
Umuahia Police Area Command	Umuahia area command ; Police Area Command office in Umuahia
Umuchu Police Division	Umuchu Division ; Umuchu Divisional Police Station
Umumba Police Division	
Umunze Police Division	Umunze
Umuobiakwa Police Division	Umuobiakwa Police Station
Umuopara Police Division	Umuopara Division
Unguwa Uku Police Division	Unguwa Uku Division
United Nations Mission in Liberia	UNMIL
United Nations Mission in Sierra Leone	UNAMSIL
United Nations Multidimensional Integrated Stabilization Mission in Mali	MINUSMA
United Nations Multidimensional Integrated Stabilization Mission in Mali	mission onusienne au Mali;Mission multidimensionnelle intégrée des Nations unies pour la stabilisation au Mali;MINUSMA
Unknown Brigade of 1 Mechanised Division	
Unknown Brigade of 2 Mechanised Division	
Unknown Brigade of 3 Armoured Division	
Unknown Brigade of 7 Division	
Unknown Brigade of 81 Division	
Unknown Brigade of 82 Division	
Unknown Nigerian Army Division	
Unknown Police Area Command in Abia State	
Unknown Police Area Command in Adamawa State	
Unknown Police Area Command in Akwa Ibom State	
Unknown Police Area Command in Anambra State	
Unknown Police Area Command in Bauchi State	
Unknown Police Area Command in Benue State	
Unknown Police Area Command in Cross River State	
Unknown Police Area Command in Delta State	
Unknown Police Area Command in Enugu State	
Unknown Police Area Command in Imo State	
Unknown Police Area Command in Jigawa State	
Unknown Police Area Command in Kano State	
Unknown Police Area Command in Katsina State	
Unknown Police Area Command in Lagos State	
Unknown Police Area Command in Nasarawa State	
Unknown Police Area Command in Oyo State	
Unknown Police Area Command in Plateau State	
Unknown Police Area Command in Rivers State	
Unknown Police Area Command in Yobe State	
Unknown Police Division in Abia State	
Unknown Police Division in Adamawa State	
Unknown Police Division in Benue State	
Unknown Police Division in Cross River State	
Unknown Police Division in Katsina State	
Unknown Police Division in Lagos State	
Unknown Police Division in Oyo State	
Unknown Police Division in Rivers State	
Unknown Zonal Police Command	
Uratta-Eziukwu Police Division	Uratta-Eziukwu Division
Uruan Police Division	Uruan Divisional Command
Urue Offong/ Oruko Police Division	Urue Offong/ Oruko Divisional Command
Uzo-Uwani Police Division	
Vunokilang Police Division	Viniklang Police Division
Wamba Police Division	Wamba Divisional Police Station
Western Naval Command	WNC
Woji Police Division	Woji Police Divisional Headquarters
Wudil Police Division	Wudil Police Station ; Wudil Division
Yarakwa Police Division	Yar'Akwa Police Division, Yar-akwa Police Divisional Office ; Yar'akwa Police Station
Yobe State Command (State Security Service)	State Security Service ; SSS ; DSS
Yobe State Police Command	State HQ Complex in Yamaturu Yobe State
Yola Police Area Command	Area Command Police Station in Yola
Zamfara State Command (State Security Service)	State Security Services in the state
Zamfara State Police Command	
Zango Police Division	
Zango Police Division	Zango Divisional Police Office
Zaria Police Area Command	Zaria Area Command
Zaria Road Police Division in Kano State	
Zone 1 Police Command	Zone 1;Zone One
Zone 10 Police Command	Zone 10
Zone 11 Police Command	Zone 11
Zone 12 Police Command	Zone 12;Zone 12 Command
Zone 2 Police Command	Zone 2;Zone Two police command;Zone II
Zone 3 Police Command	Zone 3
Zone 4 Police Command	Zone 4;Police Zone '4'
Zone 5 Police Command	Zone 5
Zone 6 Police Command	Zone 6 Police Headqaurters;Zonal Police Headquarters, Zone 6 Calabar;Zone 6
Zone 7 Police Command	Zone 7
Zone 8 Police Command	Zone 8
Zone 9 Police Command	Zone 9;Police Zonal Command Umuahia
Zuru Police Area Command	Zuru Area Command
